prefecture,city,facility,pattern,space_name,space_type,official_url,facts,risk,capacity,area_m2
東京都,練馬区,関区民ホール,community_stage_hall,関区民ホール,community_hall,https://www.city.nerima.tokyo.jp/shisetsu/shisetsu_yoyaku/sisetuitiran.html,区の現行施設予約システム対象ホールに掲載,定員と面積と舞台仕様は要確認,,
東京都,北区,赤羽会館,stage_and_meeting_complex,大ホール,stage_hall,https://www.city.kita.tokyo.jp/kikaku/kuse/joho/shiryoshu/h240901/documents/attachment_14.pdf,1階講堂754㎡と4階大ホール410㎡を掲載,公開資料は2023年のため予約可否を再確認,,410
大阪府,東大阪市,東大阪市文化創造館,stage_and_practice_complex,大ホール,stage_hall,https://www.city.higashiosaka.lg.jp/0000030067.html,大ホール1500席と小ホール300席を掲載,料金と搬入条件は要確認,1500,
大阪府,大阪市中央区,大阪府立男女共同参画・青少年センター ドーンセンター,stage_and_meeting_complex,ホール,stage_hall,https://www.pref.osaka.lg.jp/shisetsu/o070040/shisetsu_000001.html,府公式がホールとパフォーマンススペースの貸館を掲載,席数と面積は現行料金資料で再確認,,
大阪府,大阪市中央区,大阪府立労働センター エル・おおさか,stage_and_meeting_complex,大ホール,stage_hall,https://www.pref.osaka.lg.jp/shisetsu/o110090/shisetsu_000058.html,府公式が大ホールと多目的ホールとシアターを掲載,席数と面積と搬入条件は要確認,,
大阪府,大阪市旭区,大阪市立芸術創造館,stage_and_practice_complex,演劇練習室,practice_studio,https://www.city.osaka.lg.jp/keizaisenryaku/page/0000515668.html,大阪市が芸術表現活動支援施設として案内,区画別の定員と料金と搬入条件は要確認,,
大阪府,大阪市東淀川区,大阪市立青少年センター KOKO PLAZA,stage_and_practice_complex,ホール 練習発表室,practice_hall,https://www.city.osaka.lg.jp/higashiyodogawa/cmsfiles/contents/0000055/55111/R7_01KOKOPLAZA02.pdf,ホールと音楽練習室とダンス練習室と宿泊を掲載,定員と面積と搬入条件は要確認,,
大阪府,大阪市中央区,大阪産業創造館,conference_and_event_complex,4階イベントホール,event_hall,https://www.city.osaka.lg.jp/keizaisenryaku/page/0000683909.html,4階イベントホール定員150名を掲載,面積と搬入条件は要確認,150,
大阪府,富田林市,富田林市市民会館 レインボーホール,stage_and_meeting_complex,ホール,stage_hall,https://www.city.tondabayashi.lg.jp/map/rainbowhall.html,市公式予約対象で市資料はホール400席と多目的ホール700席を示す,座席構成と搬入条件は要確認,400,
大阪府,高石市,たかいし市民文化会館 アプラホール,stage_and_practice_complex,大ホール,stage_hall,https://www.city.takaishi.lg.jp/kakuka/kyouiku/appla/shiminbunkakaikan.html,市公式が大ホールと小ホール等の貸館を掲載,定員と面積と搬入条件は要確認,,
大阪府,忠岡町,忠岡町ふれあいホール,community_stage_hall,ふれあいホール,community_hall,https://www.town.tadaoka.osaka.jp/soshiki/kodomo/2/165.html,町公式が利用申込窓口を掲載,定員と面積と舞台仕様は要確認,,
大阪府,泉大津市,テクスピア大阪,conference_and_event_complex,大ホール,event_hall,https://www.city.izumiotsu.lg.jp/kakuka/koushitsu/senryaku/oshirase/15516.html,市の2026年事業資料が大ホールと小ホールの設備図を公開,定員と面積と搬入条件は要確認,,
大阪府,東大阪市,児童文化スポーツセンター ドリーム21,stage_and_practice_complex,多目的文化ホール,community_hall,https://www.city.higashiosaka.lg.jp/0000006595.html,市公式が多目的文化ホールの利用受付を案内,定員と面積と利用対象は要確認,,
大阪府,東大阪市,東大阪市民ふれあいホール,community_stage_hall,市民ふれあいホール,community_hall,https://www.city.higashiosaka.lg.jp/0000035522.html,市の現行公共施設予約対象に掲載,定員と面積と舞台仕様は要確認,,
大阪府,堺市中区,堺市立中文化会館 ソフィア・堺,stage_and_practice_complex,メインホール,stage_hall,https://www.city.sakai.lg.jp/kanko/bunka/bunka_kanren/geibunhall/koremadekeika/konwakai/kaisaiyotei.files/shiminkaikan01_06.pdf,堺市資料がメインホール798席を掲載,席数は現行施設案内で再確認,798,
大阪府,堺市南区,国際障害者交流センター ビッグ・アイ,stage_and_meeting_complex,メインホール,stage_hall,https://www.big-i.jp/,運営主体公式が現行施設を案内,席数と料金と搬入条件は要確認,,
大阪府,堺市南区,大阪府立障がい者交流促進センター ファインプラザ大阪,stage_and_meeting_complex,メインホール,stage_hall,https://www.fineplaza.net/,運営主体公式が現行施設を案内,席数と料金と搬入条件は要確認,,
大阪府,堺市北区,堺市産業振興センター,conference_and_event_complex,イベントホール,event_hall,https://www.sakai-ipc.jp/,運営主体公式が現行施設を案内,席数と料金と搬入条件は要確認,,
大阪府,堺市堺区,堺市勤労者総合福祉センター サンスクエア堺,stage_and_meeting_complex,メインホール,stage_hall,https://www.sunsquare-sakai.jp/,運営主体公式が現行施設を案内,席数と料金と搬入条件は要確認,,
