queue_order,source_id,source_status,source_name,source_url,source_address,source_prefecture,source_capacity,source_updated_at,discovered_at,official_url,official_name,official_status,official_capacity,official_area_m2,official_price_url,official_access_url,official_conditions_url,official_observed_at,verification_status,canonical_candidate_id,notes
11,LASENS-579,listed,(阿佐ヶ谷名曲喫茶)ヴィオロン,https://lasens.com/database/theater-579.html,東京都杉並区阿佐ヶ谷北2-9-5,東京都,30,2020-09-04,2026-07-31,,,,,,,,,2026-07-31,ambiguous,,"公式サイトを確認できず、商店会掲載住所とLaSens住所にも差異があるため同一施設の現況を断定しない"
12,LASENS-269,listed,B Club Studio,https://lasens.com/database/theater-269.html,神奈川県相模原市相模台1-19-16 ボンジュール相模台B1F,神奈川県,60,2020-09-09,2026-07-31,https://sound.jp/b-club/,B-club studio,unknown,60,105,https://sound.jp/b-club/,https://sound.jp/b-club/,https://sound.jp/b-club/,2026-07-31,primary_partial,,"公式サイトは同住所で閲覧可能だが更新日がなく現行営業を確認できない。掲載値は着席60人、床面積105㎡"
13,LASENS-2426,listed,えんとつシアター,https://lasens.com/database/theater-2426.html,新潟県新潟市中央区東堀通6-1051-1 G.E ビル地下１階,新潟県,,2020-06-23,2026-07-31,https://xn--r8jwcl5o.com/,新潟古町えんとつシアター,closed,,,https://xn--r8jwcl5o.com/service.html,https://xn--r8jwcl5o.com/access.html,https://xn--r8jwcl5o.com/service.html,2026-07-31,verified_primary,,"公式サイトが閉館後約4か月と2026年4月に明記。旧施設の料金・アクセス・利用条件ページは履歴として保持"
14,LASENS-3993,listed,Charlie's Studio チャーリーズスタジオ,https://lasens.com/database/theater-3993.html,富山県富山市宝町２丁目４−２０宝町ビル 3階,富山県,,2025-02-06,2026-07-31,,,,,,,,,2026-07-31,official_not_found,,"名称・住所の完全一致検索とイベント掲載元を探索したが運営者公式サイト・公式PDFを確認できず"
15,LASENS-4313,listed,MINAKURU,https://lasens.com/database/theater-4313.html,長野県佐久市臼田220,長野県,,2026-03-30,2026-07-31,https://www.minakuru-saku.com/,みんなのMINAKURU,current,80,,https://www.minakuru-saku.com/general-5,https://www.minakuru-saku.com/general-5,https://www.minakuru-saku.com/general-5,2026-07-31,verified_primary,,"公式サイトで2026年4月開館、最大80席、37坪、料金、所在地、申込・利用規定を確認"
16,LASENS-3539,listed,可児市文化創造センター ala 小劇場＜虹のホール＞,https://lasens.com/database/theater-3539.html,岐阜県可児市下恵土3433-139,岐阜県,311,2023-02-20,2026-07-31,https://kpac.or.jp/use/minitheater/,可児市文化創造センター ala 小劇場〈虹のホール〉,current,311,,https://kpac.or.jp/use/howtouse/,https://kpac.or.jp/access/,https://kpac.or.jp/use/howtouse/,2026-07-31,verified_primary,,"運営財団公式サイトで2026年の運営、プロセニアム型311席、料金・申込手順、アクセスを確認"
17,LASENS-2816,listed,あそviva!劇場,https://lasens.com/database/theater-2816.html,静岡県静岡市葵区人宿町１丁目４－６ ゴトービル２F,静岡県,30,2020-09-28,2026-07-31,https://www.asovivatheater.com/,あそviva!劇場,current,18,,https://www.asovivatheater.com/howto,https://www.asovivatheater.com/contact,https://www.asovivatheater.com/howto,2026-07-31,verified_primary,,"運営者公式サイトで2026年6月更新、所在地、客席基本上限18席、料金、設備、利用条件を確認"
18,LASENS-2468,listed,G/PIT,https://lasens.com/database/theater-2468.html,愛知県名古屋市中区栄1-23-30 中京ビル1F,愛知県,,2021-04-17,2026-07-31,https://gpit.jimdosite.com/,G/PIT,unknown,,,,,,2026-07-31,primary_partial,,"公式サイトと機材表は確認できたが公開更新は2023年までで現行営業、客席、料金、所在地を一次情報で十分確認できない"
19,LASENS-3444,listed,Theatre de Belleville,https://lasens.com/database/theater-3444.html,三重県津市美里町三郷2104,三重県,,2022-01-05,2026-07-31,https://theatre-de-belleville.tumblr.com/,Théâtre de Belleville,unknown,,,,https://theatre-de-belleville.tumblr.com/access,https://theatre-de-belleville.tumblr.com/about,2026-07-31,primary_partial,,"運営者公式サイトは確認できたが最終掲載公演が2025年で現行営業を断定しない。客席・面積・料金の公式公開値は未確認"
20,LASENS-3300,listed,滋賀県立文化産業交流会館 小劇場,https://lasens.com/database/theater-3300.html,滋賀県米原市下多良二丁目137,滋賀県,203,2021-04-02,2026-07-31,https://www.s-bunsan.jp/facility/theater,新江州シアター（小劇場）,current,203,,https://www.s-bunsan.jp/use-2/basis,https://www.s-bunsan.jp/access,https://www.s-bunsan.jp/use-2/propose,2026-07-31,verified_primary,,"指定管理者公式サイトで客席203席、2025年改定料金、アクセス、申込条件を確認"
21,LASENS-249,listed,ART COMPLEX 1928,https://lasens.com/database/theater-249.html,京都府京都市中京区三条通御幸町東南角1928 ビル3階,京都府,250,2020-09-09,2026-07-31,https://www.artcomplex.net/halllist,アートコンプレックス1928,current,72,220,,https://www.gear.ac/access/,https://www.artcomplex.net/halllist,2026-07-31,verified_primary,,"運営者公式サイトで2026年の現行運営、面積220㎡、72席を確認。2012年以降はギア専用劇場で一般貸館料金なし"
22,LASENS-332,listed,HEPホール,https://lasens.com/database/theater-332.html,大阪府大阪市北区角田町5-15 HEP FIVE 8F,大阪府,198,2021-03-03,2026-07-31,https://hephall.jp/,HEP HALL,current,200,,https://hephall.jp/,https://hephall.jp/,https://hephall.jp/,2026-07-31,verified_primary,,"運営者公式サイトで2026年の公演、着席200人、会場料金、アクセス、受付・支払・キャンセル条件を確認"
23,LASENS-3252,listed,AI HALL（アイ ホール）イベントホール,https://lasens.com/database/theater-3252.html,兵庫県伊丹市伊丹2丁目4番1号,兵庫県,300,2021-03-04,2026-07-31,https://www.aihall.com/introduction/,アイホール（伊丹市立演劇ホール）イベントホール,closed,300,357,https://www.aihall.com/wp-content/uploads/2023/03/58c94f858efe8b4c7eeab9765a26d690.pdf,https://www.aihall.com/access/,https://www.aihall.com/use/,2026-07-31,verified_primary,,"公式サイトが2026年3月30日閉館と明記。イベントホールは約357㎡、通常約300席。旧料金・アクセス・利用資料を履歴として保持"
24,LASENS-3869,listed,和歌浦小劇場,https://lasens.com/database/theater-3869.html,和歌山県和歌山市和歌浦南1丁目1-14,和歌山県,,2024-04-12,2026-07-31,,,,,,,,,2026-07-31,official_not_found,,"名称・住所・運営団体を探索したが運営者公式サイト・公式PDFを確認できず。二次報道だけを根拠に閉館欄へ転記しない"
25,LASENS-2820,listed,森の劇場 しいの実シアター,https://lasens.com/database/theater-2820.html,島根県松江市八雲町平原481-1,島根県,108,2020-09-28,2026-07-31,https://forest.ashibue.jp/theater,森の劇場 しいの実シアター【松江市八雲林間劇場】,current,108,,https://forest.ashibue.jp/theater/29,https://forest.ashibue.jp/inquiry,https://forest.ashibue.jp/theater/14,2026-07-31,verified_primary,,"運営者公式サイトで2026年の公演、客席108席、料金、所在地・交通案内、申込・利用条件を確認"
26,LASENS-2818,listed,スタジオイマイチ,https://lasens.com/database/theater-2818.html,山口県山口市道場門前2-4-15 中村ビル2F,山口県,,2020-09-28,2026-07-31,https://studioimaichi.localinfo.jp/,スタジオイマイチ,current,,,https://studioimaichi.localinfo.jp/pages/7578789/page_202401162130,https://studioimaichi.localinfo.jp/pages/7578772/profile,https://studioimaichi.localinfo.jp/pages/7578789/page_202401162130,2026-07-31,primary_partial,,"公式サイトの2025年11月更新、貸館導線、2007年設立・2015年移転の施設概要を確認。客席・面積・料金詳細は公開本文を取得できず未記入"
27,LASENS-2555,listed,THEATER NEST（シアターネスト）,https://lasens.com/database/theater-2555.html,愛媛県東温市見奈良1125 レスパスシティ/クールスモール2F,愛媛県,66,2020-07-16,2026-07-31,https://art-village-toon.jp/facility/theater/,小劇場 THEATER NEST,current,77,163.97,https://art-village-toon.jp/facility/theater/,https://art-village-toon.jp/access/,https://art-village-toon.jp/facility/theater/,2026-07-31,verified_primary,,"運営者公式サイトで客席77席（固定66＋車いす・補助席）、客席・舞台163.97㎡、料金、アクセス、利用条件を確認。収容人数92人は劇団員15人を含む"
28,LASENS-695,listed,H732シアター,https://lasens.com/database/theater-695.html,福岡県志免町志免2－27－16,福岡県,70,2020-06-23,2026-07-31,,,,,,,,,2026-07-31,blocked,,"旧公式候補のh732.net/theaterはDNS解決できず、現行の運営者公式サイト・公式PDFへ到達不能。閉館は推測しない"
29,LASENS-3614,listed,アトリエPentA,https://lasens.com/database/theater-3614.html,長崎県長崎市五島町8-7 民団ビル3F,長崎県,50,2023-02-20,2026-07-31,https://atelierpenta.jp/,アトリエPentA,current,,,https://atelierpenta.jp/use/use.html,https://atelierpenta.jp/about/access.html,https://atelierpenta.jp/use/use.html,2026-07-31,primary_partial,,"公式サイトで2026年度の公演、運営団体、外部貸出、料金例、利用時間・使用規定を確認。客席・面積の公式公開値は未確認"
30,LASENS-2438,listed,アトリエ銘苅ベース,https://lasens.com/database/theater-2438.html,沖縄県那覇市銘苅203番地,沖縄県,100,2020-06-23,2026-07-31,https://www.m-base.okinawa/introduction/,アトリエ銘苅ベース,current,80,115,https://www.m-base.okinawa/rental/,https://www.m-base.okinawa/access/,https://www.m-base.okinawa/rental/,2026-07-31,verified_primary,,"運営者公式サイトで2026年度の募集、通常74席・最大80席、115㎡、料金、アクセス、予約・利用条件を確認"
31,LASENS-2854,listed,MsmileBOX 渋谷,https://lasens.com/database/theater-2854.html,渋谷区渋谷 2-12-8 中村ビル地下 1F,,,2021-01-04,2026-07-31,https://www.shibuya2.com/space,MsmileBOX渋谷,current,110,,https://www.shibuya2.com/料金表,https://www.shibuya2.com/access,https://www.shibuya2.com/faq,2026-07-31,verified_primary,,"運営者公式サイトで現行施設名、着席約110人（スタンディング約250人）、料金、アクセス、予約・利用条件を確認"
32,LASENS-2893,listed,cube garden（キューブガーデン）,https://lasens.com/database/theater-2893.html,北海道札幌市中央区北二条東3丁目2-5,北海道,169,2020-11-09,2026-07-31,https://cube-garden.com/,cube garden,current,,,https://cube-garden.com/download/system.pdf?update=20260401,https://www.cube-garden.com/access.php,https://cube-garden.com/download/terms_of_service.pdf?update=20260401,2026-07-31,primary_partial,,"運営者公式サイトで2026年7月の予約状況、2026年4月改定料金、利用規約、アクセスを確認。客席・面積の公式公開値は未確認"
33,LASENS-2790,listed,青森ブラックボックス/BLACKBOX,https://lasens.com/database/theater-2790.html,青森県青森市古川1丁目14-3,青森県,500,2023-06-23,2026-07-31,https://blackboxaomori.wixsite.com/schedule,BLACKBOX,current,230,,https://blackboxaomori.wixsite.com/schedule/contents,https://blackboxaomori.wixsite.com/schedule,https://blackboxaomori.wixsite.com/schedule/contents,2026-07-31,verified_primary,,"運営者公式サイトで2026年の予約・公演、着席230席（総キャパ500人）、料金・申請、所在地、利用規約を確認"
34,LASENS-2794,listed,えずこホール仙南芸術文化センター 平土間ホール,https://lasens.com/database/theater-2794.html,宮城県柴田郡大河原町小島1-1,宮城県,300,2020-09-23,2026-07-31,https://www.ezuko.com/,えずこホール（仙南芸術文化センター）平土間ホール,current,,,,https://www.ezuko.com/access.html,,2026-07-31,primary_partial,,"公式サイトで2026〜2027年の公演と現行運営、所在地・アクセスを確認。平土間ホールの客席・面積・料金・利用条件は公式公開本文から確認できず未記入"
35,LASENS-4069,listed,あきた芸術村 わらび劇場,https://lasens.com/database/theater-4069.html,秋田県仙北市田沢湖卒田字早稲田430,秋田県,710,2025-08-13,2026-07-31,https://www.warabi.or.jp/ARTVILLAGE/warabi_theater,わらび劇場,current,710,,https://www.warabi.or.jp/ARTVILLAGE/warabi_theater,https://www.warabi.or.jp/access_map,https://www.warabi.or.jp/ARTVILLAGE/warabi_theater,2026-07-31,verified_primary,,"運営者公式サイトで2026年の公演、710席、貸館対応、アクセス、年齢・車いす等の利用条件を確認。貸館料金は公開額ではなく要問い合わせ"
36,LASENS-2722,listed,いわき芸術文化交流館アリオス 小劇場,https://lasens.com/database/theater-2722.html,福島県いわき市平字三崎1番地の6,福島県,233,2020-09-10,2026-07-31,https://iwaki-alios.jp/facilities/small-theater,GSユアサいわき小劇場,current,233,,https://iwaki-alios.jp/price,https://iwaki-alios.jp/access,https://iwaki-alios.jp/regulation,2026-07-31,verified_primary,,"運営者公式サイトで現行名称、車いす席4席を含む233席、料金、アクセス、利用規約を確認"
37,LASENS-596,listed,さいたま市産業文化センター,https://lasens.com/database/theater-596.html,埼玉県さいたま市中央区下落合5-4-3,埼玉県,300,2021-01-20,2026-07-31,https://www.saitama-sbc.com/施設案内/,さいたま市産業文化センター ホール,current,300,,https://www.saitama-sbc.com/施設予約について/ご利用料金/,https://www.saitama-sbc.com/アクセス/,https://www.saitama-sbc.com/施設予約について/ホールご利用上のお願い/,2026-07-31,verified_primary,,"施設公式サイトで2026年7月の更新、ホール定員300人、料金、アクセス、ホール利用条件を確認"
38,LASENS-625,listed,浦安市文化会館（小ホール）,https://lasens.com/database/theater-625.html,千葉県千葉県浦安市猫実1丁目1－2,千葉県,355,2026-05-08,2026-07-31,https://www.urayasu-zaidan.or.jp/urayasu-bunka/1001495/1001497.html,浦安市文化会館 小ホール,current,355,,https://www.urayasu-zaidan.or.jp/urayasu-bunka/1001516/index.html,https://www.urayasu-zaidan.or.jp/urayasu-bunka/1001527.html,https://www.urayasu-zaidan.or.jp/urayasu-bunka/1001507/index.html,2026-07-31,verified_primary,,"指定管理者公式サイトで2026年7月の運営、固定席355席・車いす席2席、2026年改定料金、アクセス、予約・利用条件を確認"
39,LASENS-221,marked_closed,abc会館ホール,https://lasens.com/database/theater-221.html,東京都港区芝公園2-6-3,東京都,500,2020-06-23,2026-07-31,https://corp.asahi.co.jp/ja/info/info6081652731262998792/main/0/link/170420_tokyo.pdf,ABC会館,unknown,,,,,,2026-07-31,primary_partial,,"朝日放送公式資料で1975年に芝公園へABC会館を建設し2005年に東京支社を移転した経緯を確認したが、ホールの閉館日・客席・料金等は一次情報で確認できず閉館を確定しない"
40,LASENS-423,listed,PRUNUS HALL プルヌスホール(桜美林大学・プラネット淵野辺キャンパス内),https://lasens.com/database/theater-423.html,神奈川県相模原市淵野辺4-16-1,神奈川県,200,2020-12-21,2026-07-31,https://www.obirin.ac.jp/info/year_2022/r11i8i0000096947.html,プルヌスホール,closed,200,,,,,2026-07-31,verified_primary,,"桜美林大学公式サイトが2022年3月31日閉館と明記。約200席で、役割は東京ひなたやまキャンパスの桜美林芸術文化ホールへ承継"
41,LASENS-664,listed,りゅーとぴあ（新潟市民芸術文化会館）スタジオB,https://lasens.com/database/theater-664.html,新潟県新潟市中央区一番堀通町3-2,新潟県,150,2020-06-24,2026-07-31,https://www.ryutopia.or.jp/information/facility/studio-gallery/,りゅーとぴあ 新潟市民芸術文化会館 スタジオB,current,150,257.9,https://www.ryutopia.or.jp/rent/price/,https://www.ryutopia.or.jp/traffic/access/,https://www.ryutopia.or.jp/wp-content/uploads/2025/04/eff4e388c724b3d8cda1f563c24407a5.pdf,2026-07-31,verified_primary,,"施設公式サイトで2026年の一般貸出日、最大150席、257.9㎡、料金、アクセス、受付・利用条件を確認"
42,LASENS-622,listed,新利賀山房,https://lasens.com/database/theater-622.html,富山県富山県南砺市利賀村上百瀬48番,富山県,250,2020-06-24,2026-07-31,https://www.togapk.net/facility/?facility_id=3,新利賀山房,current,250,,https://www.pref.toyama.jp/documents/53495/080325-g2.pdf,https://www.togapk.net/access.php,,2026-07-31,primary_partial,,"施設公式ページは収容250人、県の現行施設評価資料は建物601.43㎡・400人収容と記載が一致しないため250人を施設表示として記録。2026年7月施行の料金改定告示とアクセスを確認したが利用条件は未確認"
43,LASENS-2876,listed,ネオンホール,https://lasens.com/database/theater-2876.html,長野県長野市権堂町2344 2F,長野県,,2020-10-12,2026-07-31,https://neonhall.com/pages/neonhall,NEONHALL,current,60,,,https://neonhall.com/pages/neonhall,https://neonhall.com/pages/contact,2026-07-31,verified_primary,,"運営者公式サイトで2026年の公演、最大60名前後、機材、地図、出演・レンタル申込条件を確認。レンタル料金は公開されていない"
44,LASENS-2470,listed,人宿町やどりぎ座,https://lasens.com/database/theater-2470.html,静岡県静岡市葵区人宿町2丁目5-2 SOZOSYAキネマ館2F,静岡県,,2020-06-23,2026-07-31,https://yadorigiza.info/,人宿町やどりぎ座,closed,,,,https://yadorigiza.info/,,2026-07-31,verified_primary,,"運営者公式サイトに2024年4月23日付の閉館告知と最終演目を確認。客席・面積・旧貸館料金の公式公開値は未確認"
45,LASENS-2480,listed,うりんこ劇場,https://lasens.com/database/theater-2480.html,愛知県名古屋市名東区八前1-112,愛知県,,2020-06-23,2026-07-31,https://www.urinko.jp/cn6/urinkogekijyo.html,うりんこ劇場,current,,,,https://www.urinko.jp/access.html,https://www.urinko.jp/pg2973500.html,2026-07-31,verified_primary,,"運営者公式サイトで2026年の公演と設備を確認。2027年3月末閉館予定、2026年7月1日で新規貸館申込終了、2027年1月31日で貸館終了のため新規会場候補としては受付不可"
46,LASENS-2484,listed,四天王寺スクエア,https://lasens.com/database/theater-2484.html,三重県津市栄町1丁目888 四天王会館3F,三重県,150,2020-06-23,2026-07-31,https://akebonoza.net/210320play.html,四天王寺スクエア,closed,,,,,,2026-07-31,verified_primary,,"運営者公式サイトが2012年開館と2021年3月末閉館を明記。客席・面積・旧料金は一次情報で確認できた範囲のみとし未記入"
47,LASENS-2434,listed,KYOTO ART THEATRE URU（シアターウル）,https://lasens.com/database/theater-2434.html,京都府京都市右京区太秦北路町26-2 登喜和野会館,京都府,30,2020-06-23,2026-07-31,https://theatre-uru.amebaownd.com/,シアターウル KYOTO ART THEATRE URU,unknown,,,,https://theatre-uru.amebaownd.com/,,2026-07-31,primary_partial,,"運営者公式サイトで劇場名と運営者、地図を確認したが更新日・現行営業・客席・料金を十分確認できないため閉館を推測しない"
48,LASENS-347,listed,in→dependent theatre 1st（インディペンデントシアター 1st）,https://lasens.com/database/theater-347.html,大阪府大阪市浪速区日本橋3丁目3-19,大阪府,80,2021-09-14,2026-07-31,https://itheatre.jp/1st2G.html,in→dependent theatre 1st,current,60,,https://itheatre.jp/pdf/1st2G-price.pdf,https://itheatre.jp/,https://itheatre.jp/pdf/itg-kiyaku.pdf,2026-07-31,verified_primary,,"運営者公式サイトで2026年の現行運営、標準60席、料金、アクセス、利用規約・予約条件を確認。2019年に同名で新築移転しておりLaSensの80席は旧世代値"
49,LASENS-3322,listed,Art Theater dB Kobe（アートシアターデービー神戸）,https://lasens.com/database/theater-3322.html,兵庫県神戸市長田区久保町6-1-1 アスタくにづか4番館4階,兵庫県,120,2021-04-22,2026-07-31,https://db-dancebox.org/archive/02_th/01_ab/,Art Theater dB Kobe,current,120,,https://db-dancebox.org/archive/02_th/01_ab/,https://db-dancebox.org/archive/05_map/index.html,https://db-dancebox.org/cms-contents/wp-content/uploads/2023/04/dB_precautions.pdf,2026-07-31,verified_primary,,"運営者公式サイトで最大120席、舞台・客席寸法、付帯設備、料金案内、アクセス、利用上の注意を確認。2025年6月10日更新の公式機材リストも確認したため現行と判定。寸法から面積を計算せず空欄"
50,LASENS-3502,listed,山口情報芸術センター スタジオB,https://lasens.com/database/theater-3502.html,山口県山口市中園町7-7,山口県,,2022-04-07,2026-07-31,https://www.ycam.jp/guide/facility/studio-b/,スタジオB,current,,,https://www.ycam.jp/guide/facility/studio-b/,https://www.ycam.jp/guide/access/,https://www.ycam.jp/guide/facility/studio-b/,2026-07-31,verified_primary,,"施設公式サイトで幅16.5m×奥行17.7m×高さ7.8m、施設貸出、料金は要問い合わせ、アクセス、2026年10月以降の開催予定を確認。公式の客席数・面積は未掲載のため空欄"
51,LASENS-2369,marked_closed,シアターNECO,https://lasens.com/database/theater-2369.html,愛媛県松山市緑町1-2-1,愛媛県,98,2024-09-02,2026-07-31,https://tne-ehime.org/theaterneco-history/,シアターねこ,closed,,,,,,2026-07-31,verified_primary,,"運営協力団体の公式サイトで2012年5月開館、2024年8月31日閉館を確認。旧公式ドメインはDNS解決不能。LaSens掲載の98席は一次情報で確認できず転記しない"
52,LASENS-613,listed,NRCCホール(3F),https://lasens.com/database/theater-613.html,福岡県北九州市小倉北区鍛冶町2-2-11,福岡県,180,2020-06-23,2026-07-31,,,,,,,,,2026-07-31,official_not_found,,"施設名、住所、NRCCビル名で公式サイト・運営者・自治体資料を探索したが一次情報を特定できず。現行・閉館を推測せず不明とし、LaSens掲載の180席は転記しない"
53,LASENS-2444,listed,アトリエPentA,https://lasens.com/database/theater-2444.html,長崎県長崎市五島町8-7-3F,長崎県,40,2020-06-23,2026-07-31,https://atelierpenta.jp/,アトリエPentA,current,,,https://atelierpenta.jp/use/use.html,https://atelierpenta.jp/about/access.html,https://atelierpenta.jp/use/use.html,2026-07-31,primary_partial,,"同一施設・住所のLASENS-3614と重複する索引行。公式サイトで2026年度の公演、運営団体、外部貸出、料金例、利用時間・使用規定を再確認。客席・面積の公式公開値は未確認"
54,LASENS-3446,listed,ひめゆりピースホール,https://lasens.com/database/theater-3446.html,沖縄県那覇市安里388-1,沖縄県,,2022-01-05,2026-07-31,https://peace-hall.jimdofree.com/,ひめゆりピースホール,current,80,,https://peace-hall.jimdofree.com/施設利用料/,https://peace-hall.jimdofree.com/,https://peace-hall.jimdofree.com/施設利用料/,2026-07-31,verified_primary,,"財団公式サイトから当財団施設としてリンクされた管理者公式サイトで2026年の催事、基本80席、全日・付帯設備・会議室料金、利用条件、住所とアクセス注意を確認。面積は公式公開値なし"
55,LASENS-3923,listed,Zig Studio（ジグスタ）,https://lasens.com/database/theater-3923.html,新宿区大京町 29-4 御苑プラザビル２階,,,2024-08-26,2026-07-31,https://zigzigstrong.com/zig-studio,ジグスタ｜Zig Studio,current,,,,https://zigzigstrong.com/zig-studio,,2026-07-31,primary_partial,,"運営劇団公式サイトで専用スタジオ、住所、千駄ケ谷駅・国立競技場駅からのアクセス、駐車・駐輪不可を確認。公式サイトは2026年更新中だが貸館料金・利用条件・固定客席・面積は未確認"
56,LASENS-505,marked_closed,Studio Labo.,https://lasens.com/database/theater-505.html,北海道苫小牧市大町1-1-4 (元・サンテアトル),北海道,50,2020-06-24,2026-07-31,https://unitlabo6.wixsite.com/studio-labo,Studio Labo.,unknown,,,,https://unitlabo6.wixsite.com/studio-labo,,2026-07-31,primary_partial,,"運営者公式サイトで施設名と住所、2018年の公演記録を確認したが現行営業・閉館・貸館条件を確認できないため不明。LaSensの閉館表示と50席は一次情報で裏付けられず転記しない"
57,LASENS-3440,listed,渡辺源四郎商店しんまち本店２階稽古場,https://lasens.com/database/theater-3440.html,青森県青森市新町1丁目10-16,青森県,,2022-01-05,2026-07-31,https://www.nabegen.com/,渡辺源四郎商店しんまち本店2階稽古場,current,,,,https://www.nabegen.com/10003.kita_no_mahoroba_2025/,,2026-07-31,primary_partial,,"劇団公式サイトの2025年公演ページと2026年公式チラシで会場名、住所、JR青森駅から徒歩5分、2026年5月の公演を確認。貸館料金・利用条件・客席・面積の公式公開値は未確認"
58,LASENS-659,listed,エル・パーク仙台（スタジオホール）,https://lasens.com/database/theater-659.html,宮城県仙台市青葉区一番町4丁目11番1号 141ビル（仙台三越定禅寺通り館） 6階,宮城県,190,2020-06-24,2026-07-31,https://www.sendai-l.jp/center/lp/shisetsu/03/,エル・パーク仙台 スタジオホール,current,190,225,https://www.sendai-l.jp/center/lp/shisetsu/03/,https://www.sendai-l.jp/center/lp/,https://www.sendai-l.jp/center/lp/annai/,2026-07-31,verified_primary,,"指定管理者公式サイトの2026年3月改定情報で定員190名、225平方メートル、区分料金、ロールバック座席、アクセス、事前協議・申込・利用条件を確認"
