price_id,candidate_id,space_id,charge_category,use_case,day_type,time_band,amount_jpy,tax_status,unit,basis,valid_from,observed_at,verification_status,source_url,exclusions,note
PRICE-033,CAND-010,nara-convention-abc,equipment,all,all,all,16500,included,per_day,446インチスクリーン1枚・16:10・コンベンションホール全面利用時,2020-04-01,2026-07-30,verified,https://www.nara-cc.jp/price/data/ancillary_facilities_price_list.pdf,施設基本料・プロジェクター・映像音響操作・設営調整,附帯設備料金表は1日あたり
PRICE-034,CAND-010,nara-convention-abc,equipment,all,all,all,3300,included,per_day,仮設ステージ1台・W2000×D1000×H200〜1000mm,2020-04-01,2026-07-30,verified,https://www.nara-cc.jp/price/data/ancillary_facilities_price_list.pdf,施設基本料・必要台数・設営調整・音響照明,高さは200mmピッチ。附帯設備料金表は1日あたり
PRICE-035,CAND-028,makuhari-exhibition-10,facility,all,all,00:00-24:00,1532660,included,per_day,展示ホール10または11・1ホール・1日,2026-04-01,2026-07-30,verified,https://www.m-messe.co.jp/saved/files/document/pdf/1021/1/Price%20List%20202604-_InternationalExhibitionHall_J.pdf,電気・冷暖房・工事・設営撤去・警備・清掃,主催者室、多目的室、商談室、給湯室と備付備品・機器を含む。1日は0時から24時
PRICE-036,CAND-028,makuhari-exhibition-10,facility,all,all,00:00-12:00_or_12:00-24:00,766330,included,per_slot,展示ホール10または11・1ホール・半日,2026-04-01,2026-07-30,verified,https://www.m-messe.co.jp/saved/files/document/pdf/1021/1/Price%20List%20202604-_InternationalExhibitionHall_J.pdf,電気・冷暖房・工事・設営撤去・警備・清掃,半日は0時〜12時または12時〜24時。複数ホール・閑散月・長期利用の割引条件あり
PRICE-037,CAND-028,makuhari-event-hall,facility,式典・集会・展示会・即売会等,all,12_continuous_hours,1320000,included,per_use,アリーナ利用・基本使用料,2026-04-01,2026-07-30,verified,https://www.m-messe.co.jp/saved/files/document/pdf/1068/1/Price%20List202604-_MakuhariEventHall_J.pdf,冷暖房・音響照明・舞台・仮設席・設営撤去・警備・清掃,基本使用料は連続12時間を1回とした料金
PRICE-038,CAND-028,makuhari-event-hall,facility,式典・集会・展示会・即売会等,all,12_continuous_hours,2090000,included,per_use,全館利用・基本使用料,2026-04-01,2026-07-30,verified,https://www.m-messe.co.jp/saved/files/document/pdf/1068/1/Price%20List202604-_MakuhariEventHall_J.pdf,冷暖房・音響照明・舞台・仮設席・設営撤去・警備・清掃,基本使用料は連続12時間を1回とした料金
PRICE-039,CAND-028,makuhari-event-hall,hvac_cooling,all,all,all,33000,included,per_hour,幕張イベントホール,2026-04-01,2026-07-30,verified,https://www.m-messe.co.jp/saved/files/document/pdf/1068/1/Price%20List202604-_MakuhariEventHall_J.pdf,施設基本料・暖房・音響照明・舞台・警備・清掃,設備運転開始から終了まで
PRICE-040,CAND-028,makuhari-event-hall,hvac_heating,all,all,all,27500,included,per_hour,幕張イベントホール,2026-04-01,2026-07-30,verified,https://www.m-messe.co.jp/saved/files/document/pdf/1068/1/Price%20List202604-_MakuhariEventHall_J.pdf,施設基本料・冷房・音響照明・舞台・警備・清掃,設備運転開始から終了まで
PRICE-041,CAND-028,makuhari-event-hall,equipment,all,all,all,88000,included,per_day,音響基本機器1式,2026-04-01,2026-07-30,verified,https://www.m-messe.co.jp/saved/files/document/pdf/1068/1/Price%20List202604-_MakuhariEventHall_J.pdf,施設基本料・操作技術員・追加マイク・舞台・照明,固定調整卓、据付スピーカー、音響用電源ユニットを含む
PRICE-042,CAND-028,makuhari-event-hall,equipment,all,all,all,110000,included,per_day,照明基本機器1式,2026-04-01,2026-07-30,verified,https://www.m-messe.co.jp/saved/files/document/pdf/1068/1/Price%20List202604-_MakuhariEventHall_J.pdf,施設基本料・操作技術員・追加灯体・舞台・音響,照明用調光回路、ライトバトン等を含む
PRICE-043,CAND-028,makuhari-event-hall,cleaning,all,all,all,47300,included,per_day,共用部清掃料・開催日のみ,2026-04-01,2026-07-30,verified,https://www.m-messe.co.jp/saved/files/document/pdf/1068/1/Price%20List202604-_MakuhariEventHall_J.pdf,施設基本料・ホール内清掃・廃棄物処理・警備,ホール内清掃は別途費用
PRICE-044,CAND-029,bigsight-south-1,facility,all,all,00:00-24:00,2090000,included,per_day,南展示棟 南1ホール・5000㎡・1日,,2026-07-30,verified,https://www.bigsight.jp/organizer/guide/price/exhibition.html,電気・空調・通信回線・設営撤去・警備・清掃,主催者事務室、商談室、更衣室を含む。最短貸出期間は1日
PRICE-045,CAND-029,bigsight-south-1,facility,all,all,00:00-12:00_or_12:00-24:00,1045000,included,per_slot,南展示棟 南1ホール・5000㎡・追加半日,,2026-07-30,verified,https://www.bigsight.jp/organizer/guide/price/exhibition.html,電気・空調・通信回線・設営撤去・警備・清掃,半日のみの貸出はなく、1.5日・2.5日等の追加区分として利用
PRICE-046,CAND-029,bigsight-south-1,hvac,all,all,all,22500,excluded,per_hour,南1〜4ホール・1ホールあたり,,2026-07-30,verified,https://www.bigsight.jp/organizer/download/pdf/guidance_hall.pdf,施設基本料・電気・通信回線・設営撤去・警備・清掃,展示施設利用の手引き掲載額。消費税別
PRICE-047,CAND-029,bigsight-south-1,electricity,all,all,all,70,excluded,per_kw_day,設備容量分：（申込電力−1000kW）×開催日数×70円,,2026-07-30,verified,https://www.bigsight.jp/organizer/download/pdf/guidance_hall.pdf,従量電気料金・施設基本料・空調・通信回線・設営撤去・警備・清掃,1000kW以下では容量分0円。従量分31.45円/kWhは小数を保持できないため別行化せず注記
PRICE-048,CAND-036,portmesse-first-b,facility,all,all,00:00-24:00,870000,not_stated,per_day,第1展示館 展示ホールB・3360㎡・現行料金,2022-10-01,2026-07-30,verified,https://portmesse.com/facility/tenjikan01,電気・ガス・水道・冷暖房・設営撤去・警備・清掃,2026年9月30日までの本申込みに適用。各種割引制度あり
PRICE-049,CAND-036,portmesse-first-b,facility,all,all,00:00-24:00,1170000,not_stated,per_day,第1展示館 展示ホールB・3360㎡・改正料金,2026-10-01,2026-07-30,verified,https://portmesse.com/wp-content/uploads/efe6fef4558307b9c6fc6b36874f9f12.pdf,電気・ガス・水道・冷暖房・設営撤去・警備・清掃,2026年10月1日以降の本申込みに適用。利用日ではなく本申込日基準
PRICE-050,CAND-036,portmesse-first-full,facility,all,all,00:00-24:00,4740000,not_stated,per_day,第1展示館 全面・20160㎡・現行料金,2022-10-01,2026-07-30,verified,https://portmesse.com/facility/tenjikan01,電気・ガス・水道・冷暖房・設営撤去・警備・清掃,2026年9月30日までの本申込みに適用。各種割引制度あり
PRICE-051,CAND-036,portmesse-first-full,facility,all,all,00:00-24:00,6390000,not_stated,per_day,第1展示館 全面・20160㎡・改正料金,2026-10-01,2026-07-30,verified,https://portmesse.com/wp-content/uploads/efe6fef4558307b9c6fc6b36874f9f12.pdf,電気・ガス・水道・冷暖房・設営撤去・警備・清掃,2026年10月1日以降の本申込みに適用。利用日ではなく本申込日基準
PRICE-052,CAND-040,intex-hall-5b,facility,all,all,09:00-17:00,528000,included,per_day,5号館Bゾーン・1625㎡・基本利用時間,2020-04-01,2026-07-30,verified,https://www.intex-osaka.com/jp/organizer/guide/price/,電気・水道・ガス・冷暖房・設営撤去・警備・清掃,公式現行ページ掲載額。光熱水費は冷暖房利用分を含め使用者負担
PRICE-053,CAND-040,intex-hall-5b,facility,all,all,09:00-13:00_or_13:00-17:00,264000,included,per_slot,5号館Bゾーン・半日利用,2020-04-01,2026-07-30,verified,https://www.intex-osaka.com/jp/organizer/guide/price/,電気・水道・ガス・冷暖房・設営撤去・警備・清掃,基本料金の半額。半日利用で時間外延長する場合は通常時間外料金の50%増
PRICE-054,CAND-040,intex-hall-5b,facility,all,all,07:00-09:00_or_17:00-22:00,44000,included,per_hour,5号館Bゾーン・基本利用時間外,2020-04-01,2026-07-30,verified,https://www.intex-osaka.com/jp/organizer/guide/price/,電気・水道・ガス・冷暖房・設営撤去・警備・清掃,半日利用時の時間外延長は50%増。22時〜翌7時は大型催事条件を満たす場合のみ別料金
PRICE-055,CAND-040,intex-hall-5b,facility,large_event_only,all,22:00-07:00,57200,included,per_hour,5号館Bゾーン・深夜利用,2020-04-01,2026-07-30,verified,https://www.intex-osaka.com/jp/organizer/guide/price/,電気・水道・ガス・冷暖房・設営撤去・警備・清掃,搬入出3日以上かつ使用面積合計50000㎡以上の大規模催事のみ。5B単独利用へ適用できるとは扱わない
PRICE-056,CAND-040,intex-hall-5a,facility,all,all,09:00-17:00,1485000,included,per_day,5号館Aゾーン・4728㎡・基本利用時間,2020-04-01,2026-07-30,verified,https://www.intex-osaka.com/jp/organizer/guide/price/,電気・水道・ガス・冷暖房・設営撤去・警備・清掃,公式現行ページ掲載額。光熱水費は冷暖房利用分を含め使用者負担
PRICE-057,CAND-040,intex-hall-5b,equipment,all,all,all,22000,included,per_day,フォークリフト1台,2020-04-01,2026-07-30,verified,https://www.intex-osaka.com/jp/organizer/guide/price/,運転者・燃料・施設基本料・電気・水道・ガス・冷暖房・設営撤去・警備・清掃,イベントツール料金。使用条件と空きは要確認
PRICE-058,CAND-030,pacifico-exhibition-a,facility,all,all,00:00-24:00,1364000,included,per_day,展示ホールA・3300㎡・全日利用,2025-11-01,2026-07-30,verified,https://lp.pacifico.co.jp/hubfs/Room_Rental_Price_List_jpn.pdf,冷暖房・空調照明等の電気・清掃・レイアウト設営・警備・通信回線,会場使用料金表の2025年11月以降料金。準備撤去のみの半日利用は全日利用に連続する場合に限定
PRICE-059,CAND-030,pacifico-exhibition-a,facility,setup_teardown,all,00:00-12:00_or_12:00-24:00,682000,included,per_slot,展示ホールA・準備撤去半日,2025-11-01,2026-07-30,verified,https://lp.pacifico.co.jp/hubfs/Room_Rental_Price_List_jpn.pdf,冷暖房・空調照明等の電気・清掃・レイアウト設営・警備・通信回線,全日利用に連続する準備・撤去利用に限る
PRICE-060,CAND-030,pacifico-north-g1-g8,facility,all,all,09:00-17:00,4400000,included,per_day,ノース多目的ホールG1〜G8・6337㎡,2025-11-01,2026-07-30,verified,https://lp.pacifico.co.jp/hubfs/Room_Rental_Price_List_jpn.pdf,時間外延長・同日レイアウト変更・追加設備・警備・清掃・通信回線,机・イス、利用開始時レイアウト、音響照明・ポータブルステージ等の指定数、付帯控室を含む。1F全面利用時の5%割引制度あり
PRICE-061,CAND-030,pacifico-north-g1-g4,facility,all,all,09:00-17:00,2200000,included,per_day,ノース多目的ホール4/8利用・G1〜G4相当,2025-11-01,2026-07-30,verified,https://lp.pacifico.co.jp/hubfs/Room_Rental_Price_List_jpn.pdf,時間外延長・同日レイアウト変更・追加設備・警備・清掃・通信回線,4/8利用の料金。G1〜G4は公式レイアウト例のシアター3024席区画
PRICE-062,CAND-030,pacifico-north-g1-g8,facility,all,all,09:00-21:00,6600000,included,per_day,ノース多目的ホールG1〜G8・12時間,2025-11-01,2026-07-30,verified,https://lp.pacifico.co.jp/hubfs/Room_Rental_Price_List_jpn.pdf,時間外延長・同日レイアウト変更・追加設備・警備・清掃・通信回線,9:00〜21:00区分。5:00〜22:00の時間外は792000円/時、22:00〜5:00は1101100円/時
PRICE-063,CAND-008,actcity-exhibition-full,facility,all,weekday,09:00-22:00,555290,included,per_day,展示イベントホール全ブロック・平日全日,2019-10-01,2026-07-30,verified,https://www.actcity.jp/user/price/,冷暖房・電気・給排水・追加音響照明・設営撤去・警備・清掃,練習・準備・撤去利用は7割。同日に大・中ホールまたはコングレスセンター全館と同目的で併用する場合も7割
PRICE-064,CAND-008,actcity-exhibition-full,facility,all,weekend_holiday,09:00-22:00,721870,included,per_day,展示イベントホール全ブロック・土日祝全日,2019-10-01,2026-07-30,verified,https://www.actcity.jp/user/price/,冷暖房・電気・給排水・追加音響照明・設営撤去・警備・清掃,土曜日・日曜日・祝日に1日の範囲内で利用する料金
PRICE-065,CAND-008,actcity-exhibition-block3,facility,all,weekday,09:00-22:00,222090,included,per_day,展示イベントホール第3ブロック・1100㎡・平日全日,2019-10-01,2026-07-30,verified,https://www.actcity.jp/user/price/,冷暖房・電気・給排水・追加音響照明・設営撤去・警備・清掃,最小料金の分割区画。練習・準備・撤去利用は7割
PRICE-066,CAND-008,actcity-exhibition-full,facility,combined_same_purpose,all,09:00-22:00,388703,included,per_day,展示イベントホール全ブロック・他施設同日併用7割,2019-10-01,2026-07-30,verified,https://www.actcity.jp/user/price/,冷暖房・電気・給排水・追加音響照明・設営撤去・警備・清掃,同日に同一目的で大ホール・中ホール・コングレスセンター全館のいずれかと併用する場合。555290円×70%
PRICE-067,CAND-008,actcity-middle-hall,facility,admission_up_to_1000,all,09:00-22:00,192180,included,per_day,中ホール・入場料1000円以下・全日,2019-10-01,2026-07-30,verified,https://www.actcity.jp/user/price/,冷暖房・舞台音響照明設備・楽屋・リハーサル室・警備・清掃,入場料に段階がある場合は最高額を適用。練習・準備・撤去の舞台利用は7割
PRICE-068,CAND-008,actcity-middle-hall,facility,admission_over_5000,all,09:00-22:00,427160,included,per_day,中ホール・入場料5001円以上・全日,2019-10-01,2026-07-30,verified,https://www.actcity.jp/user/price/,冷暖房・舞台音響照明設備・楽屋・リハーサル室・警備・清掃,入場料に段階がある場合は最高額を適用
PRICE-069,CAND-008,actcity-middle-hall,hvac,all,all,all,3190,included,per_hour,中ホール冷暖房料,2019-10-01,2026-07-30,verified,https://www.actcity.jp/user/price/,施設基本料・舞台音響照明設備・楽屋・リハーサル室・警備・清掃,1時間単価
PRICE-070,CAND-041,acrie-exhibition-full,facility,all,all,09:00-22:00,768300,included,per_day,展示場A+B+C・4000㎡・全日,,2026-07-30,verified,https://www.himeji-ccc.jp/organizer/fee.html,冷暖房・電気給排水・仮設舞台・音響映像・設営撤去・警備・清掃・通信回線,現行公式料金ページの一体利用額。主催者控室等を含む
PRICE-071,CAND-041,acrie-exhibition-b,facility,all,all,09:00-22:00,207300,included,per_day,展示場B・920㎡・全日,,2026-07-30,verified,https://www.himeji-ccc.jp/organizer/fee.html,冷暖房・電気給排水・仮設舞台・音響映像・設営撤去・警備・清掃・通信回線,3分割時の最小区画。主催者控室等を含む
PRICE-072,CAND-041,acrie-exhibition-b,hvac,all,all,all,4500,included,per_hour,展示場B冷暖房設備,,2026-07-30,verified,https://www.himeji-ccc.jp/organizer/fee.html,施設基本料・電気給排水・仮設舞台・音響映像・設営撤去・警備・清掃・通信回線,1時間単価。Aは6500円/時、Cは5000円/時
PRICE-073,CAND-041,acrie-middle-hall,facility,all,weekday,09:00-22:00,118000,included,per_day,中ホール・693席・平日全日,,2026-07-30,verified,https://www.himeji-ccc.jp/organizer/fee.html,付属設備・追加舞台音響照明スタッフ・警備・清掃・通信回線,楽屋事務室、楽屋21・27を含む。入場料1001円以上で2〜10割、商品展示販売で10割加算
PRICE-074,CAND-041,acrie-middle-hall,facility,all,weekend_holiday,09:00-22:00,141600,included,per_day,中ホール・693席・休日等全日,,2026-07-30,verified,https://www.himeji-ccc.jp/organizer/fee.html,付属設備・追加舞台音響照明スタッフ・警備・清掃・通信回線,楽屋事務室、楽屋21・27を含む。入場料1001円以上で2〜10割、商品展示販売で10割加算
PRICE-075,CAND-001,hakodate-main-arena,facility,non_sports_no_admission_nonprofit,weekday,09:00-22:00,150000,not_stated,per_day,メインアリーナ全面・アマチュアスポーツ以外・入場料なし・非営利,,2026-07-30,verified,https://www.zaidan-hakodate.com/arena/data/ryokin.pdf,付属設備・電源・設営撤去・警備・清掃・通信回線,土日祝は基本料2割増。興行目的は別途10%加算
PRICE-076,CAND-001,hakodate-main-arena,facility,non_sports_admission_nonprofit,weekday,09:00-22:00,450000,not_stated,per_day,メインアリーナ全面・アマチュアスポーツ以外・入場料あり・非営利,,2026-07-30,verified,https://www.zaidan-hakodate.com/arena/data/ryokin.pdf,付属設備・電源・設営撤去・警備・清掃・通信回線,土日祝は基本料2割増。興行目的は別途10%加算
PRICE-077,CAND-001,hakodate-main-arena,facility,non_sports_admission_commercial,weekday,09:00-22:00,1350000,not_stated,per_day,メインアリーナ全面・アマチュアスポーツ以外・入場料あり・営利,,2026-07-30,verified,https://www.zaidan-hakodate.com/arena/data/ryokin.pdf,付属設備・電源・設営撤去・警備・清掃・通信回線,土日祝は基本料2割増。興行目的は別途10%加算
PRICE-078,CAND-001,hakodate-sub-arena,facility,non_sports_no_admission_nonprofit,weekday,09:00-22:00,50000,not_stated,per_day,サブアリーナ全面・アマチュアスポーツ以外・入場料なし・非営利,,2026-07-30,verified,https://www.zaidan-hakodate.com/arena/data/ryokin.pdf,付属設備・電源・設営撤去・警備・清掃・通信回線,専用使用は原則平日午前・午後。全日料金があっても夜間を含む利用可否は事前確認が必要
PRICE-079,CAND-001,hakodate-main-arena,electricity,all,all,per_time_band,180,not_stated,per_outlet,コンセント1口・使用時間区分ごと,,2026-07-30,verified,https://www.zaidan-hakodate.com/arena/senyou.html,施設基本料・付属設備・設営撤去・警備・清掃・通信回線,午前・午後・夜間をまたぐ場合は使用区分数を乗じる。当日現金精算
PRICE-080,CAND-024,yamagata-bigwing-full,facility,all,all,09:00-17:00,384000,not_stated,per_day,多目的集会展示場全面・全日,,2026-07-30,verified,https://www.convention.or.jp/bigwing/ryokin/,付属設備・冷暖房・特別電気水道・設営撤去・警備・清掃・通信回線,準備・撤去のみの利用は基本料70%。入場料を徴収する場合は有料入場者数に応じて最高入場料の5〜100倍を加算
PRICE-081,CAND-024,yamagata-bigwing-quarter,facility,all,all,09:00-17:00,112000,not_stated,per_day,多目的集会展示場4分の1・全日,,2026-07-30,verified,https://www.convention.or.jp/bigwing/ryokin/,付属設備・冷暖房・特別電気水道・設営撤去・警備・清掃・通信回線,午前・午後・夜間の各4時間区分は56000円。時間区分未満でも区分料金
PRICE-082,CAND-024,yamagata-bigwing-full,hvac_cooling,all,all,all,17920,not_stated,per_hour,多目的集会展示場全面・冷房,,2026-07-30,verified,https://www.convention.or.jp/bigwing/ryokin/,施設基本料・付属設備・暖房・特別電気水道・設営撤去・警備・清掃・通信回線,1時間単価。暖房は16440円/時
PRICE-083,CAND-024,yamagata-bigwing-quarter,hvac_cooling,all,all,all,4480,not_stated,per_hour,多目的集会展示場4分の1・冷房,,2026-07-30,verified,https://www.convention.or.jp/bigwing/ryokin/,施設基本料・付属設備・暖房・特別電気水道・設営撤去・警備・清掃・通信回線,1時間単価。暖房は4110円/時
