event_id,series,year,event_status,country,prefecture_or_state,city,venue_names,verification_status,source_url,note
JUNIOR-2024,JYYF_JUNIOR,2024,held,日本,神奈川県,横浜市,"横浜市技能文化会館",verified,https://jj24.yoyocontest.jp/,""
JUNIOR-2025,JYYF_JUNIOR,2025,held,日本,神奈川県,横浜市,"横浜市技能文化会館",verified,https://jj25.yoyocontest.jp/,""
JUNIOR-2026,JYYF_JUNIOR,2026,planned,日本,愛知県,岩倉市,"アデリア総合体育文化センター",verified,https://www.jyyf.org/,"2026-10-18開催予定"
REG-2007-EJ,JYYF_REGIONAL,2007,held,日本,東京都,江東区,"江東区砂町文化センター",verified,https://www.jyyf.org/contest/2007/index.php,"東日本。大会年度は2007、実開催日は2006-12-23"
REG-2007-CJ,JYYF_REGIONAL,2007,held,日本,愛知県,岡崎市,"愛知県青年の家",verified,https://www.jyyf.org/contest/2007/index.php,"中部"
REG-2007-WJ,JYYF_REGIONAL,2007,held,日本,大阪府,高石市,"羽衣青少年センター",verified,https://www.jyyf.org/contest/2007/index.php,"西日本"
REG-2007-NJ,JYYF_REGIONAL,2007,held,日本,北海道,札幌市,"東区民センター 大ホール",verified,https://www.jyyf.org/contest/2007/index.php,"北海道"
REG-2007-SJ,JYYF_REGIONAL,2007,held,日本,鹿児島県,霧島市,"隼人国分サティ 2階サティホール",verified,https://www.jyyf.org/contest/2007/index.php,"九州"
REG-2008-EJ,JYYF_REGIONAL,2008,held,日本,東京都,江東区,"カメリアホール（カメリアプラザ・江東区亀戸文化センター）",verified,https://www.jyyf.org/contest/2008/index.php,"東日本"
REG-2008-CJ,JYYF_REGIONAL,2008,held,日本,愛知県,岡崎市,"愛知県青年の家",verified,https://www.jyyf.org/contest/2008/index.php,"中部"
REG-2008-WJ,JYYF_REGIONAL,2008,held,日本,大阪府,高石市,"羽衣青少年センター",verified,https://www.jyyf.org/contest/2008/index.php,"西日本"
REG-2008-NJ,JYYF_REGIONAL,2008,held,日本,北海道,札幌市,"札幌市北区民センター 大ホール",verified,https://www.jyyf.org/contest/2008/index.php,"北海道"
REG-2008-SJ,JYYF_REGIONAL,2008,held,日本,福岡県,北九州市,"井筒屋小倉店 新館9階パステルホール",verified,https://www.jyyf.org/contest/2008/index.php,"九州"
REG-2009-EJ,JYYF_REGIONAL,2009,held,日本,東京都,江東区,"江東区砂町文化センター",verified,https://www.jyyf.org/contest/2009/,"東日本"
REG-2009-CJ,JYYF_REGIONAL,2009,held,日本,愛知県,岡崎市,"愛知県岡崎青年の家",verified,https://www.jyyf.org/contest/2009/,"中部"
REG-2009-NJ,JYYF_REGIONAL,2009,held,日本,北海道,札幌市,"札幌市北区民センター 区民ホール",verified,https://www.jyyf.org/contest/2009/nj.php,"北海道"
REG-2009-WJ,JYYF_REGIONAL,2009,held,日本,大阪府,高石市,"大阪府羽衣青少年センター",verified,https://www.jyyf.org/contest/2009/,"西日本"
REG-2009-SJ,JYYF_REGIONAL,2009,held,日本,福岡県,北九州市,"イオン八幡東ショッピングセンター 1階ひまわりの広場",verified,https://www.jyyf.org/contest/2009/,"九州"
REG-2010-CJ,JYYF_REGIONAL,2010,held,日本,愛知県,岡崎市,"愛知県青年の家",verified,https://www.jyyf.org/contest/2010/,"中部"
REG-2010-EJ,JYYF_REGIONAL,2010,held,日本,東京都,江東区,"江東区砂町文化センター",verified,https://www.jyyf.org/contest/2010/,"東日本"
REG-2010-NJ,JYYF_REGIONAL,2010,held,日本,北海道,札幌市,"札幌市北区民センター 区民ホール",verified,https://www.jyyf.org/contest/2010/,"北海道"
REG-2010-WJ,JYYF_REGIONAL,2010,held,日本,大阪府,大阪市,"大阪市立北区民センター",verified,https://www.jyyf.org/contest/2010/,"西日本"
REG-2010-SJ,JYYF_REGIONAL,2010,held,日本,福岡県,糟屋郡,"サンレイクかすや 多目的ホール",verified,https://www.jyyf.org/contest/2010/,"九州"
REG-2011-EJ,JYYF_REGIONAL,2011,held,日本,東京都,江東区,"江東区砂町文化センター",verified,https://www.jyyf.org/2011jl/,"東日本。大会年度は2011、実開催日は2010-12-26"
REG-2011-CJ,JYYF_REGIONAL,2011,held,日本,愛知県,岩倉市,"岩倉市総合体育文化センター 多目的ホール",verified,https://www.jyyf.org/2011jl/,"中部"
REG-2011-WJ,JYYF_REGIONAL,2011,held,日本,大阪府,高石市,"大阪府立羽衣青少年センター 体育館",verified,https://www.jyyf.org/2011jl/,"西日本"
REG-2011-SJ,JYYF_REGIONAL,2011,held,日本,福岡県,糟屋郡粕屋町,"サンレイクかすや 多目的ホール",verified,https://www.jyyf.org/2011jl/,"九州"
REG-2011-NJ,JYYF_REGIONAL,2011,held,日本,北海道,札幌市,"札幌市東区民センター 大ホール",verified,https://www.jyyf.org/2011jl/,"北海道"
REG-2012-EJA,JYYF_REGIONAL,2012,held,日本,東京都,江東区,"江東区砂町文化センター",verified,https://www.jyyf.org/2012jl/,"東日本A。大会年度は2012、実開催日は2011-12-04"
REG-2012-CJ,JYYF_REGIONAL,2012,held,日本,愛知県,岩倉市,"岩倉市総合体育文化センター 多目的ホール",verified,https://www.jyyf.org/2012jl/,"中部"
REG-2012-EJB,JYYF_REGIONAL,2012,held,日本,千葉県,市川市,"行徳文化ホールI&I",verified,https://www.jyyf.org/2012jl/,"東日本B"
REG-2012-NJ,JYYF_REGIONAL,2012,held,日本,北海道,札幌市,"札幌市北区民センター 3階区民ホール",verified,https://www.jyyf.org/2012jl/,"北海道"
REG-2012-SJ,JYYF_REGIONAL,2012,held,日本,福岡県,糟屋郡粕屋町,"サンレイクかすや 多目的ホール",verified,https://www.jyyf.org/2012jl/,"九州"
REG-2012-WJ,JYYF_REGIONAL,2012,held,日本,大阪府,大阪市,"大阪市立北区民センター",verified,https://www.jyyf.org/2012jl/,"西日本"
REG-2013-EJA,JYYF_REGIONAL,2013,held,日本,東京都,江東区,"江東区砂町文化センター",verified,https://www.jyyf.org/2013jl/,"東日本A"
REG-2013-NJ,JYYF_REGIONAL,2013,held,日本,北海道,札幌市,"札幌市北区民センター",verified,https://www.jyyf.org/2013jl/,"北海道"
REG-2013-CJ,JYYF_REGIONAL,2013,held,日本,愛知県,岩倉市,"岩倉市総合体育文化センター 多目的ホール",verified,https://www.jyyf.org/2013jl/,"中部"
REG-2013-SJ,JYYF_REGIONAL,2013,held,日本,長崎県,長崎市,"メルカつきまち",verified,https://www.jyyf.org/2013jl/,"九州"
REG-2013-EJB,JYYF_REGIONAL,2013,held,日本,神奈川県,川崎市,"川崎市総合福祉センター エポックなかはら",verified,https://www.jyyf.org/2013jl/,"東日本B"
REG-2013-WJ,JYYF_REGIONAL,2013,held,日本,大阪府,大阪市,"大阪市立北区民センター",verified,https://www.jyyf.org/2013jl/,"西日本"
REG-2014-EJA,JYYF_REGIONAL,2014,held,日本,千葉県,松戸市,"松戸市民会館",verified,https://www.jyyf.org/2014jl/,"東日本A"
REG-2014-WJ,JYYF_REGIONAL,2014,held,日本,大阪府,大阪市,"大阪市立北区民センター",verified,https://www.jyyf.org/2014jl/,"西日本"
REG-2014-SJ,JYYF_REGIONAL,2014,held,日本,福岡県,糟屋郡粕屋町,"サンレイクかすや",verified,https://www.jyyf.org/2014jl/,"九州"
REG-2014-NJ,JYYF_REGIONAL,2014,held,日本,北海道,札幌市,"札幌市北区民センター 3階区民ホール",verified,https://www.jyyf.org/2014jl/,"北海道"
REG-2014-CJ,JYYF_REGIONAL,2014,held,日本,愛知県,岩倉市,"岩倉市総合体育文化センター 多目的ホール",verified,https://www.jyyf.org/2014jl/,"中部"
REG-2014-EJB,JYYF_REGIONAL,2014,held,日本,神奈川県,川崎市,"エポックなかはら",verified,https://www.jyyf.org/2014jl/,"東日本B"
REG-2015-EJA,JYYF_REGIONAL,2015,held,日本,千葉県,松戸市,"松戸市民会館",verified,https://jyyf.org/2015jl/,"東日本A"
REG-2015-WJ,JYYF_REGIONAL,2015,held,日本,岡山県,岡山市,"岡山ふれあいセンター 大ホール",verified,https://jyyf.org/2015jl/,"西日本"
REG-2015-SJ,JYYF_REGIONAL,2015,held,日本,熊本県,熊本市,"市民会館崇城大学ホール（熊本市民会館） 大会議室",verified,https://jyyf.org/2015jl/,"九州"
REG-2015-CJ,JYYF_REGIONAL,2015,held,日本,静岡県,浜松市,"なゆた浜北ホール",verified,https://jyyf.org/2015jl/,"中部"
REG-2015-EJB,JYYF_REGIONAL,2015,held,日本,宮城県,仙台市,"日立システムズホール仙台",verified,https://jyyf.org/2015jl/,"東日本B"
REG-2015-NJ,JYYF_REGIONAL,2015,held,日本,北海道,千歳市,"千歳アウトレットモール・レラ（レラアトリウム）",verified,https://jyyf.org/2015jl/,"北海道"
REG-2016-EJA,JYYF_REGIONAL,2016,held,日本,東京都,江東区,"江東区砂町文化センター",verified,https://www.jyyf.org/2016jl/,"関東"
REG-2016-CJ,JYYF_REGIONAL,2016,held,日本,愛知県,岩倉市,"岩倉市総合体育文化センター 多目的ホール",verified,https://www.jyyf.org/2016jl/,"中部"
REG-2016-EJB,JYYF_REGIONAL,2016,held,日本,宮城県,仙台市,"日立システムズホール仙台",verified,https://www.jyyf.org/2016jl/,"東北"
REG-2016-SJ,JYYF_REGIONAL,2016,held,日本,福岡県,福岡市,"福岡市立中央市民センター",verified,https://www.jyyf.org/2016jl/,"九州"
REG-2016-NJ,JYYF_REGIONAL,2016,held,日本,北海道,千歳市,"千歳アウトレットモール・レラ レラアトリウム",verified,https://www.jyyf.org/2016jl/,"北海道"
REG-2016-WJ,JYYF_REGIONAL,2016,held,日本,大阪府,大阪市,"大阪市立北区民センター",verified,https://www.jyyf.org/2016jl/,"西日本"
REG-2017-EJA,JYYF_REGIONAL,2017,held,日本,東京都,江東区,"江東区砂町文化センター",verified,https://jyyf.org/2017jl/,"関東"
REG-2017-CJ,JYYF_REGIONAL,2017,held,日本,愛知県,岩倉市,"岩倉市総合体育文化センター 多目的ホール",verified,https://jyyf.org/2017jl/,"中部"
REG-2017-EJB,JYYF_REGIONAL,2017,held,日本,宮城県,名取市,"イオンモール名取 イオンホール",verified,https://jyyf.org/2017jl/,"東北"
REG-2017-WJ,JYYF_REGIONAL,2017,held,日本,大阪府,大阪市,"大阪市立北区民センター",verified,https://jyyf.org/2017jl/,"西日本"
REG-2017-SJ,JYYF_REGIONAL,2017,held,日本,沖縄県,那覇市,"てんぶす那覇 テンブスホール",verified,https://jyyf.org/2017jl/,"九州沖縄"
REG-2017-NJ,JYYF_REGIONAL,2017,held,日本,北海道,千歳市,"千歳アウトレットモール・レラ（レラアトリウム）",verified,https://jyyf.org/2017jl/,"北海道"
REG-2018-WJ,JYYF_REGIONAL,2018,held,日本,大阪府,大阪市,"大阪市立北区民センター",verified,https://www.jyyf.org/2018jl/,"西日本"
REG-2018-CJ,JYYF_REGIONAL,2018,held,日本,愛知県,岩倉市,"岩倉市総合体育文化センター 多目的ホール",verified,https://www.jyyf.org/2018jl/,"中部"
REG-2018-NJ,JYYF_REGIONAL,2018,held,日本,北海道,千歳市,"千歳アウトレットモール・レラ レラアトリウム",verified,https://www.jyyf.org/2018jl/,"北海道"
REG-2018-SJ,JYYF_REGIONAL,2018,held,日本,福岡県,糟屋郡粕屋町,"サンレイクかすや 多目的ホール",verified,https://www.jyyf.org/2018jl/,"九州"
REG-2018-EJ,JYYF_REGIONAL,2018,held,日本,東京都,江東区,"江東区砂町文化センター",verified,https://www.jyyf.org/2018jl/,"関東"
REG-2019-WJ,JYYF_REGIONAL,2019,held,日本,大阪府,大阪市,"大阪市立北区民センター",verified,https://www.jyyf.org/2019jl/,"西日本"
REG-2019-SJ,JYYF_REGIONAL,2019,held,日本,福岡県,糟屋郡粕屋町,"サンレイクかすや 多目的ホール",verified,https://www.jyyf.org/2019jl/,"九州"
REG-2019-CJ,JYYF_REGIONAL,2019,held,日本,愛知県,岩倉市,"岩倉市総合体育文化センター 多目的ホール",verified,https://www.jyyf.org/2019jl/,"中部"
REG-2019-EJ,JYYF_REGIONAL,2019,held,日本,東京都,江東区,"江東区砂町文化センター",verified,https://www.jyyf.org/2019jl/,"関東"
REG-2019-NJ,JYYF_REGIONAL,2019,held,日本,北海道,千歳市,"千歳アウトレットモール・レラ レラアトリウム",verified,https://www.jyyf.org/2019jl/,"北海道"
REG-2020-WJ,JYYF_REGIONAL,2020,held,日本,大阪府,大阪市,"大阪市立北区民センター",verified,https://www.jyyf.org/2020jl/,"西日本"
REG-2020-CJ,JYYF_REGIONAL,2020,held,日本,愛知県,岩倉市,"岩倉市総合体育文化センター 多目的ホール",verified,https://www.jyyf.org/2020jl/,"中部"
REG-2020-SJ,JYYF_REGIONAL,2020,held,日本,福岡県,糟屋郡粕屋町,"サンレイクかすや 多目的ホール",verified,https://www.jyyf.org/2020jl/,"九州。無観客開催"
REG-2020-EJ,JYYF_REGIONAL,2020,held,日本,東京都,江東区,"江東区砂町文化センター",verified,https://www.jyyf.org/2020jl/,"関東。無観客開催"
REG-2020-NJ,JYYF_REGIONAL,2020,held,日本,北海道,札幌市,"札幌市東区民センター 大ホール",verified,https://www.jyyf.org/2020jl/,"北海道。延期・会場変更後の実開催会場"
REG-2021-NJ,JYYF_REGIONAL,2021,held,日本,北海道,札幌市,"札幌市東区民センター",verified,https://www.jyyf.org/news/3598,"北海道。無観客開催・映像による後日審査"
REG-2021-CJ,JYYF_REGIONAL,2021,held,日本,愛知県,岩倉市,"岩倉市総合体育文化センター",verified,https://www.jyyf.org/news/3598,"中部。入場制限付き開催"
REG-2021-SJ,JYYF_REGIONAL,2021,held,日本,福岡県,糟屋郡粕屋町,"サンレイクかすや",verified,https://www.jyyf.org/news/3598,"九州。無観客開催・映像による後日審査"
REG-2021-WJ,JYYF_REGIONAL,2021,held,日本,大阪府,松原市,"ゆめニティプラザ",verified,https://www.jyyf.org/news/3598,"西日本。複数回延期後の実開催日は2021-07-18"
REG-2021-EJ,JYYF_REGIONAL,2021,held,日本,神奈川県,横浜市,"横浜市教育会館",verified,https://www.jyyf.org/news/3598,"関東。複数回延期後の実開催日は2021-08-08、無観客開催"
REG-2022-WJ,JYYF_REGIONAL,2022,held,日本,大阪府,大阪市,"大阪市北区民センター",verified,https://www.jyyf.org/news/4255,"西日本"
REG-2022-CJ,JYYF_REGIONAL,2022,held,日本,愛知県,岩倉市,"岩倉市総合体育文化センター",verified,https://www.jyyf.org/news/4255,"中部"
REG-2022-SJ,JYYF_REGIONAL,2022,held,日本,福岡県,糟屋郡粕屋町,"サンレイクかすや",verified,https://www.jyyf.org/news/4255,"九州"
REG-2022-EJ,JYYF_REGIONAL,2022,held,日本,神奈川県,横浜市,"横浜市教育会館",verified,https://www.jyyf.org/news/4255,"関東。延期後の実開催日は2022-04-10"
REG-2022-NJ,JYYF_REGIONAL,2022,held,日本,北海道,千歳市,"千歳アウトレットモール・レラ",verified,https://www.jyyf.org/,"北海道。実開催日は2022-04-30"
REG-2023-WJ,JYYF_REGIONAL,2023,held,日本,大阪府,大阪市,"大阪市立北区民センター",verified,https://www.jyyf.org/,"公式トップの終了大会一覧"
REG-2023-CJ,JYYF_REGIONAL,2023,held,日本,愛知県,岩倉市,"アデリア総合体育文化センター",verified,https://www.jyyf.org/,"公式トップの終了大会一覧"
REG-2023-SJ,JYYF_REGIONAL,2023,held,日本,福岡県,糟屋郡粕屋町,"サンレイクかすや",verified,https://www.jyyf.org/,"公式トップの終了大会一覧"
REG-2023-EJ,JYYF_REGIONAL,2023,held,日本,神奈川県,横浜市,"横浜市教育会館",verified,https://www.jyyf.org/,"公式トップの終了大会一覧"
REG-2023-NJ,JYYF_REGIONAL,2023,held,日本,北海道,札幌市,"札幌市東区民センター",verified,https://www.jyyf.org/,"公式トップの終了大会一覧"
REG-2024-WJ,JYYF_REGIONAL,2024,held,日本,大阪府,大阪市,"大阪市立北区民センター",verified,https://jl24.yoyocontest.jp/,""
REG-2024-CJ,JYYF_REGIONAL,2024,held,日本,愛知県,岩倉市,"アデリア総合体育文化センター",verified,https://jl24.yoyocontest.jp/,""
REG-2024-EJ,JYYF_REGIONAL,2024,held,日本,神奈川県,横浜市,"横浜市教育会館",verified,https://jl24.yoyocontest.jp/,""
REG-2024-NJ,JYYF_REGIONAL,2024,held,日本,北海道,札幌市,"札幌市東区民センター",verified,https://jl24.yoyocontest.jp/,""
REG-2024-SJ,JYYF_REGIONAL,2024,held,日本,福岡県,糟屋郡粕屋町,"サンレイクかすや",verified,https://jl24.yoyocontest.jp/,""
REG-2025-WJ,JYYF_REGIONAL,2025,held,日本,大阪府,大阪市,"大阪市立北区民センター",verified,https://www.jyyf.org/,"西日本"
