review_id,detail_id,candidate_id,space_name,raw_height_m,previous_type,resolution,clear_height_min_m,ceiling_height_type,evidence_url,reviewed_at,human_action,note
CEILING-RECHECK-045,DETAIL-045,CAND-002,本館会議棟 大ホールA+B,5.9,nominal_review,resolved_filterable,5.9,published_clear,https://www.yumemesse.or.jp/facility/main-building-conference-building/,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-047,DETAIL-047,CAND-050,大ホール 3分割B,12,nominal_review,resolved_excluded,,highest_point,https://www.sora-scc.jp/organizer/venue/,2026-08-06,,公式ページが最高部・最高天井・建物高さの値と明記しており、最低有効高には使えない
CEILING-RECHECK-060,DETAIL-060,CAND-058,2F HALL B,6,nominal_review,resolved_filterable,6,published_clear,https://www.bellesalle.co.jp/shisetsu/tokyo/bs_akihabara/detail/bs_akihabara_hall_2fb/,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-062,DETAIL-062,CAND-025,コンベンションホール全面,7,nominal_review,resolved_filterable,7,published_clear,https://www.big-palette.jp/promotor/room/convention-hall.html,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-073,DETAIL-073,CAND-017,イベント・展示ホール,6,nominal_review,resolved_filterable,6,published_clear,https://www.kumamoto-jo-hall.jp/organizer/spec_exhibition.html,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-074,DETAIL-074,CAND-017,シビックホール（多目的ホール）,7,nominal_review,resolved_filterable,7,published_clear,https://www.kumamoto-jo-hall.jp/organizer/spec_civic.html,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-080,DETAIL-080,CAND-048,サミットホール（全スパン）,9,nominal_review,resolved_filterable,9,published_clear,https://www.seagaia-mice.jp/facilities/convention-center/convention-4f/summit-hall-all/,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-081,DETAIL-081,CAND-048,サミットホール1/5（天葉・天玉等）,9,nominal_review,resolved_filterable,9,published_clear,https://www.seagaia-mice.jp/facilities/convention-center/convention-4f/summit-hall-all/,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-083,DETAIL-083,CAND-039,第3展示場,6.75,nominal_review,resolved_filterable,6.75,published_clear,https://www.miyakomesse.jp/planner/information/exhibition-hall3/,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-088,DETAIL-088,CAND-015,龍馬学園イベントホール（小ホール）,4.5,nominal_review,resolved_filterable,4.5,published_clear,https://www.bunkaplaza.or.jp/facility/halls/,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-089,DETAIL-089,CAND-003,展示室（一体）,9,nominal_review,resolved_filterable,9,published_clear,https://www.aobayama.jp/organizer/floor/exhibitionhall/exhibitionroom_all.html,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-090,DETAIL-090,CAND-003,展示室1,9,nominal_review,resolved_filterable,9,published_clear,https://www.aobayama.jp/organizer/floor/exhibitionhall/exhibitionroom_1.html,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-093,DETAIL-093,CAND-006,メインホール（スノーホール）,7,nominal_review,resolved_filterable,7,published_clear,https://www.tokimesse.com/sponsor/guide/snow.html,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-099,DETAIL-099,CAND-011,イベントホール,6.5,nominal_review,resolved_filterable,6.5,published_clear,https://www.mamakari.net/facility/eventhall.php,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-100,DETAIL-100,CAND-011,コンベンションホール,6.5,nominal_review,resolved_filterable,6.5,published_clear,https://www.mamakari.net/facility/conventionhall.php,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-106,DETAIL-106,CAND-064,box-1,4.3,nominal_review,resolved_filterable,4.3,published_clear,https://www.gekito.jp/?pg=1723857507,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-107,DETAIL-107,CAND-065,ホール,3.6,nominal_review,resolved_filterable,3.6,published_clear,https://stspot.jp/guide/,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-109,DETAIL-109,CAND-067,4階ホール,5.5,nominal_review,resolved_filterable,5.5,published_clear,https://www.pomplazahall.jp/pom.html,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-110,DETAIL-110,CAND-068,アトリエ銘苅ベース,3.2,nominal_review,resolved_filterable,3.2,published_clear,https://www.m-base.okinawa/introduction/,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-111,DETAIL-111,CAND-069,スタジオB,4,nominal_review,resolved_filterable,4,published_clear,https://www.ryutopia.or.jp/information/facility/studio-gallery/,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-113,DETAIL-113,CAND-071,1F 劇場・イベントスペース,3.48,nominal_review,resolved_filterable,3.48,published_clear,https://sainotsuno.org/wp/wp-content/themes/sainotsuno2025/pdf/zumen01.pdf,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-115,DETAIL-115,CAND-073,しいの実シアター,4.5,nominal_review,resolved_excluded,,stage_clearance,https://forest.ashibue.jp/theater/10,2026-08-06,,公式ページが舞台寸法の高さとして掲載しており、室内の最低有効高には使えない
CEILING-RECHECK-119,DETAIL-119,CAND-035,岐阜メモリアルセンター ふれ愛ドーム（第2体育館）,13.15,nominal_review,resolved_filterable,13.15,published_clear,https://gifu-sports.org/gmc/shisetsudata/fureaidome/,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-120,DETAIL-120,CAND-037,日硝ハイウエーアリーナ メインアリーナ,15,nominal_review,resolved_filterable,15,published_clear,https://shisetsu.mizuno.jp/m-7138/gallery,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-121,DETAIL-121,CAND-037,日硝ハイウエーアリーナ サブアリーナ,13,nominal_review,resolved_filterable,13,published_clear,https://shisetsu.mizuno.jp/m-7138/gallery,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-123,DETAIL-123,CAND-075,メインアリーナ,26,nominal_review,resolved_excluded,,highest_point,https://www.kitayell.jp/facilities/sports/main-arena/,2026-08-06,,公式ページが最高部・最高天井・建物高さの値と明記しており、最低有効高には使えない
CEILING-RECHECK-124,DETAIL-124,CAND-075,サブアリーナ,22,nominal_review,resolved_excluded,,highest_point,https://www.kitayell.jp/facilities/sports/sub-arena/,2026-08-06,,公式ページが最高部・最高天井・建物高さの値と明記しており、最低有効高には使えない
CEILING-RECHECK-134,DETAIL-134,CAND-079,イベントホール棟,55,nominal_review,resolved_excluded,,highest_point,https://sundome.sankan.jp/about-us-h/,2026-08-06,,公式ページが最高部・最高天井・建物高さの値と明記しており、最低有効高には使えない
CEILING-RECHECK-163,DETAIL-163,CAND-097,アリーナ,14.5,nominal_review,resolved_filterable,14.5,published_clear,https://yokohama-buntai.jp/facility/,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-216,DETAIL-216,CAND-133,メインアリーナ,42.65,published_clear,resolved_excluded,,highest_point,https://www.namihayadome.gr.jp/shisetsuannai.html,2026-08-06,,公式ページが最高部・最高天井・建物高さの値と明記しており、最低有効高には使えない
CEILING-RECHECK-411,DETAIL-411,CAND-133,メインプール,42.65,nominal_review,resolved_excluded,,highest_point,https://www.namihayadome.gr.jp/shisetsuannai.html,2026-08-06,,公式ページが最高部・最高天井・建物高さの値と明記しており、最低有効高には使えない
CEILING-RECHECK-412,DETAIL-412,CAND-133,競技フロア（秋期）,42.65,nominal_review,resolved_excluded,,highest_point,https://www.namihayadome.gr.jp/shisetsuannai.html,2026-08-06,,公式ページが最高部・最高天井・建物高さの値と明記しており、最低有効高には使えない
CEILING-RECHECK-413,DETAIL-413,CAND-133,メイン・サブリンク（冬期）,42.65,nominal_review,resolved_excluded,,highest_point,https://www.namihayadome.gr.jp/shisetsuannai.html,2026-08-06,,公式ページが最高部・最高天井・建物高さの値と明記しており、最低有効高には使えない
CEILING-RECHECK-491,DETAIL-491,CAND-112,第1会議室,2.5,nominal_review,resolved_filterable,2.5,published_clear,https://www.nagano-mwave.co.jp/bighat/event_organizer/,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-492,DETAIL-492,CAND-112,第2会議室,2.5,nominal_review,resolved_filterable,2.5,published_clear,https://www.nagano-mwave.co.jp/bighat/event_organizer/,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-493,DETAIL-493,CAND-112,第3会議室,2.5,nominal_review,resolved_filterable,2.5,published_clear,https://www.nagano-mwave.co.jp/bighat/event_organizer/,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-494,DETAIL-494,CAND-112,第4会議室,2.5,nominal_review,resolved_filterable,2.5,published_clear,https://www.nagano-mwave.co.jp/bighat/event_organizer/,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-495,DETAIL-495,CAND-112,第5会議室,2.5,nominal_review,resolved_filterable,2.5,published_clear,https://www.nagano-mwave.co.jp/bighat/event_organizer/,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-496,DETAIL-496,CAND-112,第6会議室,2.5,nominal_review,resolved_filterable,2.5,published_clear,https://www.nagano-mwave.co.jp/bighat/event_organizer/,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-497,DETAIL-497,CAND-112,第7会議室（楽屋）,2.5,nominal_review,resolved_filterable,2.5,published_clear,https://www.nagano-mwave.co.jp/bighat/event_organizer/,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-535,DETAIL-535,CAND-254,コンベンションホール,15.3,nominal_review,resolved_filterable,15.3,published_clear,https://www.hida-center.jp/facilities/facility-conventionhall.html,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-563,DETAIL-563,CAND-271,メインアリーナ,18,nominal_review,resolved_filterable,18,published_clear,https://nishihara-shokai-arena.jp/guide/outline,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
CEILING-RECHECK-564,DETAIL-564,CAND-271,サブアリーナ,15,nominal_review,resolved_filterable,15,published_clear,https://nishihara-shokai-arena.jp/guide/outline,2026-08-06,,公式ページが当該区画の天井高・天高・床面から天井までの高さを単一値として掲載
