detail_id,candidate_id,space_id,space_name,space_type,area_m2,ceiling_height_m,clear_height_min_m,ceiling_height_type,overhead_use_status,capacity_theater,capacity_fixed,floor_load_kg_m2,divisible,stage_type,sports_or_practice_use,streaming_ready,source_url,observed_at,verification_status,note
DETAIL-063,CAND-025,bigpalette-exhibition-a,多目的展示ホールA（南側）,exhibition,1670,15,15,minimum_clear,unknown,1400,,2000,yes,temporary,conditional,conditional,https://big-palette.jp/promotor/room/exhibition-hall.html,2026-07-30,verified,スクール860人、展示70小間。全面ホールを可動間仕切りで分割する1区画。天井は全面仕様の15〜20m、キャットウォーク下13.5m
DETAIL-064,CAND-025,bigpalette-exhibition-b,多目的展示ホールB（中央）,exhibition,1444,15,15,minimum_clear,unknown,1150,,2000,yes,temporary,conditional,conditional,https://big-palette.jp/promotor/room/exhibition-hall.html,2026-07-30,verified,スクール720人、展示50小間。全面ホールを可動間仕切りで分割する1区画。天井は全面仕様の15〜20m、キャットウォーク下13.5m
DETAIL-065,CAND-025,bigpalette-exhibition-c,多目的展示ホールC（北側）,exhibition,2375,15,15,minimum_clear,unknown,2100,,2000,yes,temporary,conditional,conditional,https://big-palette.jp/promotor/room/exhibition-hall.html,2026-07-30,verified,スクール1150人、展示100小間。全面ホールを可動間仕切りで分割する1区画。天井は全面仕様の15〜20m、キャットウォーク下13.5m
DETAIL-066,CAND-034,airwater-main,エア・ウォーターアリーナ松本 メインアリーナ,arena,2535,,,unknown,unknown,7000,3596,,yes,none,yes,unknown,https://www.city.matsumoto.nagano.jp/soshiki/239/5722.html,2026-07-30,verified,39m×65m。固定3596席、ロールバック可動1536席、移動席を含め利用形態により3600〜7000席。3分割可。天井高、床荷重、催事回線は公式ページ上で未観測
DETAIL-067,CAND-034,airwater-sub,エア・ウォーターアリーナ松本 サブアリーナ,arena,1110,,,unknown,unknown,192,,,yes,none,yes,unknown,https://www.city.matsumoto.nagano.jp/soshiki/239/5722.html,2026-07-30,verified,30m×37m。ロールバック可動席192席。2分割可。バドミントン4面等に対応。天井高、床荷重、催事回線は公式ページ上で未観測
DETAIL-068,CAND-034,kissei-large,キッセイ文化ホール 大ホール,theater,,,,unknown,unknown,2000,2000,,no,fixed,conditional,conditional,https://www.matsubun.jp/outline/,2026-07-30,verified,固定2000席。プロセニアム間口18m・高さ10m、楽屋9室、4か国語同時通訳設備。無料Wi-Fi・有線LANと別事業者の有料回線があるが、配信帯域は要確認
DETAIL-069,CAND-034,kissei-medium,キッセイ文化ホール 中ホール,flat_hall,939,,,unknown,unknown,1000,,,no,convertible,conditional,conditional,https://www.matsubun.jp/outline/,2026-07-30,verified,電動可動椅子308席を含む移動席最大746席。椅子収納時939㎡、昇降舞台252㎡。全椅子収納のオールスタンディングは公式案内で定員1000人。可動椅子上の一斉起立・跳躍は禁止
DETAIL-070,CAND-014,matsuyama-main,体育館 メインアリーナ,arena,2038,,,unknown,unknown,,,,yes,none,yes,unknown,https://www.cul-spo.or.jp/comcen/fac_taiiku/,2026-07-30,verified,50.7m×40.2m。バスケットボール・ハンドボール2面、バドミントン12面等。1/3単位の専用利用可。天井高、観客席数、床荷重、催事回線は公式ページ上で未観測
DETAIL-071,CAND-014,matsuyama-sub,体育館 サブアリーナ,arena,670,,,unknown,unknown,,,,yes,none,yes,unknown,https://www.cul-spo.or.jp/comcen/fac_taiiku/,2026-07-30,verified,18.6m×36.0m。バスケットボール・バレーボール1面、バドミントン4面等。メインのアップコートや小規模大会に利用可能。半面利用可
DETAIL-072,CAND-014,camellia-hall,文化ホール（キャメリアホール）,stage_hall,537,,,unknown,unknown,988,506,,no,convertible,conditional,conditional,https://www.cul-spo.or.jp/comcen/fac_bunka_list/,2026-07-30,verified,観客席面積は1階537㎡。1階ロールバック可動482席、2・3階固定506席、計988席。舞台261㎡・間口18m・奥行14.5m・高さ8m、楽屋5室、リハーサル室112㎡。ホール専用5G基地局あり
DETAIL-073,CAND-017,kumamoto-exhibition,イベント・展示ホール,exhibition,1630,6,6,published_clear,unknown,,,2000,yes,temporary,yes,conditional,https://www.kumamoto-jo-hall.jp/organizer/spec_exhibition.html,2026-08-06,verified,北側B約830㎡、南側A約690㎡に分割可。コンクリート床＋塗装、11t車直接乗入れ可。固定グリッドバトン、電動道具バトン、電気・給排水ピットあり。投擲・床保護・催事回線は要確認
DETAIL-074,CAND-017,kumamoto-civic,シビックホール（多目的ホール）,flat_hall,840,7,7,published_clear,unknown,750,,350,yes,convertible,conditional,conditional,https://www.kumamoto-jo-hall.jp/organizer/spec_civic.html,2026-08-06,verified,北側B約380㎡、南側A約220㎡に分割可。移動観覧席約320席＋仮設約430席で計750席、収納時は平土間。舞台幅約26m×奥行約9m、350インチスクリーン、搬入EV2300kg。移動観覧席での飲食は禁止
DETAIL-075,CAND-017,kumamoto-main,メインホール,stage_hall,,,,unknown,unknown,2304,2304,500,no,fixed,conditional,conditional,https://www.kumamoto-jo-hall.jp/organizer/spec_main.html,2026-07-30,verified,1階1738席・2階566席。舞台幅約22m×奥行約20m、420インチスクリーン。搬入EVは4500kgと6000kgの2基。固定席ホールのため、競技床を要するJJF型よりWYYC型の舞台・決勝用途向き
DETAIL-076,CAND-043,bigship-multipurpose,多目的ホール,multipurpose_hall,1879,,,unknown,unknown,2004,,500,yes,convertible,yes,yes,https://www.bigship.or.jp/bigship/organizer/6/1/,2026-07-30,verified,可動席1824席、固定・バルコニー等を含む最大2004席。客席収納時は平土間1879㎡で展示・スポーツ競技会に対応し、1/2利用可。舞台最大幅34m・奥行18.5m、プロセニアム間口22m・高さ10m。通信・給排水ピットあり
DETAIL-077,CAND-043,bigship-international,国際会議室,flat_hall,534,,,unknown,unknown,408,,,no,temporary,conditional,yes,https://www.bigship.or.jp/bigship/organizer/6/3/,2026-07-30,verified,絨毯の平土間で客席フリーレイアウト。貸出時は机・椅子を倉庫収納。学会・シンポジウム・展示会・レセプションに対応。天井高、床荷重、投擲条件は公式ページ上で未観測
